PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
4835;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OldSmartCard;Turi;Bari;Puglia;ITALIA
4836;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;NewSmartCard;Rovereto;Trento;Trentino Alto Adige;ITALIA
4837;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Rovereto;Trento;Trentino Alto Adige;ITALIA
4838;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OldSmartCard;Ponza;Latina;Lazio;ITALIA
4839;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OpenMove;San Vito dei Normanni;Brindisi;Puglia;ITALIA
4840;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Verona;Verona;Veneto;ITALIA
4841;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OpenMove;Sovramonte;Belluno;Veneto;ITALIA
4842;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OpenMove;Gonzaga;Mantova;Lombardia;ITALIA
4843;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4844;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OldSmartCard;Borgo Valsugana;Trento;Trentino Alto Adige;ITALIA
4845;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OpenMove;Cittadella;Padova;Veneto;ITALIA
4846;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4847;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;OpenMove;Longare;Vicenza;Veneto;ITALIA
4848;ITALIA;Italiana;Dipartimento di Economia e Management;Gestione Aziendale;Corso di Laurea;OpenMove;Povegliano Veronese;Verona;Veneto;ITALIA
4849;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4850;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Scienze e Tecnologie Biomolecolari;Corso di Laurea;OldSmartCard;Mori;Trento;Trentino Alto Adige;ITALIA
4851;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OpenMove;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4852;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;OpenMove;Paese;Treviso;Veneto;ITALIA
4853;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Silea;Treviso;Veneto;ITALIA
4854;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;OpenMove;Lamon;Belluno;Veneto;ITALIA
4855;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia e linguaggi della modernità;Corso di Laurea Magistrale;NewSmartCard;Bolotana;Nuoro;Sardegna;ITALIA
4856;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;Bassano del Grappa;Vicenza;Veneto;ITALIA
4857;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4858;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Dueville;Vicenza;Veneto;ITALIA
4859;ITALIA;Italiana;Centro interdipartimentale Mente/Cervello- CIMeC ;Cognitive Science - Scienze Cognitive;Corso di Laurea Magistrale;OpenMove;Messina;Messina;Sicilia;ITALIA
4860;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4861;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4862;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;Arsie';Belluno;Veneto;ITALIA
4863;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Vigasio;Verona;Veneto;ITALIA
4864;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4865;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Santo Stefano di Magra;La Spezia;Liguria;ITALIA
4866;ECUADOR;Extracomunitaria;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4867;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4868;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;OpenMove;Brunico;Bolzano;Trentino Alto Adige;ITALIA
4869;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OpenMove;San Giovanni Lupatoto;Verona;Veneto;ITALIA
4870;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;Biologia Quantitativa e Computazionale;Corso di Laurea Magistrale;OpenMove;Nove;Vicenza;Veneto;ITALIA
4871;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e legislazione d'impresa;Corso di Laurea Magistrale;OldSmartCard;Merano;Bolzano;Trentino Alto Adige;ITALIA
4872;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OldSmartCard;Bolzano;Bolzano;Trentino Alto Adige;ITALIA
4873;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Rosolina;Rovigo;Veneto;ITALIA
4874;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell’Informazione e delle Comunicazioni;Corso di Laurea Magistrale;OldSmartCard;Aldeno;Trento;Trentino Alto Adige;ITALIA
4875;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;INFORMATICA;Corso di Laurea Magistrale;OldSmartCard;San Benedetto Po;Mantova;Lombardia;ITALIA
4876;ITALIA;Italiana;Scuola di studi Internazionali;EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI ;Corso di Laurea Magistrale;OpenMove;Soleto;Lecce;Puglia;ITALIA
4877;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OldSmartCard;Caldonazzo;Trento;Trentino Alto Adige;ITALIA
4878;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OldSmartCard;Tuenno;Trento;Trentino Alto Adige;ITALIA
4879;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Venezia;Venezia;Veneto;ITALIA
4880;ITALIA;Italiana;Dipartimento di Economia e Management;Gestione Aziendale;Corso di Laurea;OldSmartCard;Sover;Trento;Trentino Alto Adige;ITALIA
4881;ITALIA;Italiana;Dipartimento di Economia e Management;Economia e Management;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4882;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Mediazione linguistica, turismo e culture;Corso di Laurea Magistrale;OpenMove;Noale;Venezia;Veneto;ITALIA
4883;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OpenMove;San Benedetto del Tronto;Ascoli Piceno;Marche;ITALIA
4884;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Tione di Trento;Trento;Trentino Alto Adige;ITALIA
4885;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Informatica;Corso di Laurea;OldSmartCard;Cortina d'Ampezzo;Belluno;Veneto;ITALIA
4886;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OldSmartCard;Sacile;Pordenone;Friuli Venezia Giulia;ITALIA
4887;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4888;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Calceranica Al Lago;Trento;Trentino Alto Adige;ITALIA
4889;ITALIA;Italiana;Dipartimento di Economia e Management;Management;Corso di Laurea Magistrale;OldSmartCard;Civitavecchia;Roma;Lazio;ITALIA
4890;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OpenMove;Castel San Pietro Terme;Bologna;Emilia-Romagna;ITALIA
4891;CILE;Extracomunitaria;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Edile-Architettura;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4892;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;San Dona' di Piave;Venezia;Veneto;ITALIA
4893;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4894;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Pesaro;Pesaro e Urbino;Marche;ITALIA
4895;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;Levico Terme;Trento;Trentino Alto Adige;ITALIA
4896;ITALIA;Italiana;Dipartimento di Economia e Management;Gestione Aziendale;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4897;ITALIA;Italiana;Dipartimento di Matematica;MATEMATICA;Corso di Laurea Magistrale;OpenMove;Sarno;Salerno;Campania;ITALIA
4898;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell’Informazione e delle Comunicazioni;Corso di Laurea Magistrale;OpenMove;Verona;Verona;Veneto;ITALIA
4899;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4900;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4901;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OpenMove;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4902;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell’Informazione e delle Comunicazioni;Corso di Laurea Magistrale;OldSmartCard;Arco;Trento;Trentino Alto Adige;ITALIA
4903;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Verona;Verona;Veneto;ITALIA
4904;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Psicologia;Corso di Laurea Magistrale;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4905;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4906;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Sedico;Belluno;Veneto;ITALIA
4907;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Informatica;Corso di Laurea;OpenMove;Merano;Bolzano;Trentino Alto Adige;ITALIA
4908;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Civezzano;Trento;Trentino Alto Adige;ITALIA
4909;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Rovereto;Trento;Trentino Alto Adige;ITALIA
4910;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OpenMove;Arzignano;Vicenza;Veneto;ITALIA
4911;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OldSmartCard;Belluno;Belluno;Veneto;ITALIA
4912;CINA;Extracomunitaria;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;-;-;-;CINA REPUBBLICA POPOLARE
4913;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Serravalle A Po;Mantova;Lombardia;ITALIA
4914;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OpenMove;Ala;Trento;Trentino Alto Adige;ITALIA
4915;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OldSmartCard;Romeno;Trento;Trentino Alto Adige;ITALIA
4916;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OldSmartCard;Cavizzana;Trento;Trentino Alto Adige;ITALIA
4917;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Mori;Trento;Trentino Alto Adige;ITALIA
4918;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Bosco Chiesanuova;Verona;Veneto;ITALIA
4919;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Valeggio Sul Mincio;Verona;Veneto;ITALIA
4920;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Beni culturali;Corso di Laurea;OldSmartCard;Avio;Trento;Trentino Alto Adige;ITALIA
4921;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Breda di Piave;Treviso;Veneto;ITALIA
4922;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria Elettronica e delle Telecomunicazioni;Corso di Laurea;OpenMove;Romano d'Ezzelino;Vicenza;Veneto;ITALIA
4923;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4924;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OpenMove;Asiago;Vicenza;Veneto;ITALIA
4925;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Scurelle;Trento;Trentino Alto Adige;ITALIA
4926;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;OpenMove;Roma;Roma;Lazio;ITALIA
4927;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Sant'Ambrogio di Valpolicella;Verona;Veneto;ITALIA
4928;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Belluno;Belluno;Veneto;ITALIA
4929;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4930;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Verona;Verona;Veneto;ITALIA
4931;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;OldSmartCard;Caldonazzo;Trento;Trentino Alto Adige;ITALIA
4932;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OpenMove;PRIMIERO SAN MARTINO DI CASTROZZA ;Trento;Trentino Alto Adige;ITALIA
4933;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;CASTEL IVANO;Trento;Trentino Alto Adige;ITALIA
4934;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Cis;Trento;Trentino Alto Adige;ITALIA
4935;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4936;ITALIA;Italiana;Dipartimento di Matematica;Matematica;Corso di Laurea;OldSmartCard;San Michele All'Adige;Trento;Trentino Alto Adige;ITALIA
4937;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OpenMove;Pederobba;Treviso;Veneto;ITALIA
4938;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Taibon Agordino;Belluno;Veneto;ITALIA
4939;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Lamezia Terme;Catanzaro;Calabria;ITALIA
4940;ITALIA;Italiana;Centro Interdipartimentale Biologia Integrata- CIBio;BIOTECNOLOGIE CELLULARI E MOLECOLARI;Corso di Laurea Magistrale;OldSmartCard;Gravina In Puglia;Bari;Puglia;ITALIA
4941;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OpenMove;Mola di Bari;Bari;Puglia;ITALIA
4942;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;San Pietro In Cariano;Verona;Veneto;ITALIA
4943;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;NewSmartCard;Volano;Trento;Trentino Alto Adige;ITALIA
4944;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OldSmartCard;Dro;Trento;Trentino Alto Adige;ITALIA
4945;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Borgo Valsugana;Trento;Trentino Alto Adige;ITALIA
4946;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OldSmartCard;Cosenza;Cosenza;Calabria;ITALIA
4947;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;NewSmartCard;Spresiano;Treviso;Veneto;ITALIA
4948;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4949;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Verona;Verona;Veneto;ITALIA
4950;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Human-Computer Interaction - Interazione Persona-Macchina;Corso di Laurea Magistrale;OpenMove;Rovereto;Trento;Trentino Alto Adige;ITALIA
4951;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OpenMove;Legnago;Verona;Veneto;ITALIA
4952;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OpenMove;Quistello;Mantova;Lombardia;ITALIA
4953;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia;Corso di Laurea;OpenMove;Pergine Valsugana;Trento;Trentino Alto Adige;ITALIA
4954;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Castelnuovo del Garda;Verona;Veneto;ITALIA
4955;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Studi internazionali;Corso di Laurea;OpenMove;Costermano;Verona;Veneto;ITALIA
4956;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OldSmartCard;VILLE D’ANAUNIA;Trento;Trentino Alto Adige;ITALIA
4957;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OpenMove;Miane;Treviso;Veneto;ITALIA
4958;ITALIA;Italiana;Dipartimento di Fisica;Fisica;Corso di Laurea;OpenMove;Arzignano;Vicenza;Veneto;ITALIA
4959;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OldSmartCard;Terzolas;Trento;Trentino Alto Adige;ITALIA
4960;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4961;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OldSmartCard;Cavizzana;Trento;Trentino Alto Adige;ITALIA
4962;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OpenMove;Male';Trento;Trentino Alto Adige;ITALIA
4963;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OpenMove;Rovereto;Trento;Trentino Alto Adige;ITALIA
4964;ITALIA;Italiana;Dipartimento di Fisica;Fisica;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4965;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4966;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;OpenMove;Paese;Treviso;Veneto;ITALIA
4967;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OldSmartCard;Ala;Trento;Trentino Alto Adige;ITALIA
4968;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell'informazione e Organizzazione D'impresa;Corso di Laurea;OldSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
4969;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria Civile;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4970;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;NewSmartCard;Cordignano;Treviso;Veneto;ITALIA
4971;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
4972;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;OldSmartCard;Ivrea;Torino;Piemonte;ITALIA
4973;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Tuenno;Trento;Trentino Alto Adige;ITALIA
4974;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Sociologia;Corso di Laurea;OpenMove;Cortina d'Ampezzo;Belluno;Veneto;ITALIA
4975;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;NewSmartCard;Dambel;Trento;Trentino Alto Adige;ITALIA
4976;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Ingegneria Industriale;Corso di Laurea;NewSmartCard;Cellatica;Brescia;Lombardia;ITALIA
4977;ITALIA;Italiana;Dipartimento di Fisica;Fisica;Corso di Laurea;OpenMove;Curtatone;Mantova;Lombardia;ITALIA
4978;PAKISTAN;Extracomunitaria;Dipartimento di Ingegneria e Scienza dell'Informazione;INFORMATICA;Corso di Laurea Magistrale;OldSmartCard;-;-;-;PAKISTAN
4979;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;San Bassano;Cremona;Lombardia;ITALIA
4980;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Scienze e Tecniche di Psicologia Cognitiva;Corso di Laurea;OpenMove;Levico Terme;Trento;Trentino Alto Adige;ITALIA
4981;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Latina;Latina;Lazio;ITALIA
4982;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OpenMove;Suzzara;Mantova;Lombardia;ITALIA
4983;ITALIA;Italiana;Facoltà di Giurisprudenza;Giurisprudenza;Laurea Magistrale Ciclo Unico 5 anni;OpenMove;Roma;Roma;Lazio;ITALIA
4984;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea;OldSmartCard;Bosentino;Trento;Trentino Alto Adige;ITALIA
4985;ITALIA;Italiana;Dipartimento di Ingegneria e Scienza dell'Informazione;Ingegneria dell'Informazione e delle Comunicazioni;Corso di Laurea;OldSmartCard;Rovereto;Trento;Trentino Alto Adige;ITALIA
