PROGRESSIVO;CITTADINANZA_DESC;TIPO_CITTADINANZA_DESC;FACOLTA_DESC;CDS_DESC;TIPO_CORSO_DES;TipoAbbomanento;COMUNE_RESIDENZA_DESC;PROVINCIA_RESIDENZA_DESC;REGIONE_RESIDENZA_DESC;NAZIONE_RESIDENZA_DESC
638;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Metodologia, Organizzazione e Valutazione dei Servizi Sociali;Corso di Laurea Magistrale;OldSmartCard;Lisignago;Trento;Trentino Alto Adige;ITALIA
639;ITALIA;Italiana;Dipartimento di Ingegneria Industriale;Materials and production Engineering - Ingegneria dei materiali e della produzione;Corso di Laurea Magistrale;OpenMove;Marostica;Vicenza;Veneto;ITALIA
640;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Filosofia e linguaggi della modernità;Corso di Laurea Magistrale;OpenMove;Mezzocorona;Trento;Trentino Alto Adige;ITALIA
641;ITALIA;Italiana;Dipartimento di Psicologia e Scienze Cognitive;Human-Computer Interaction - Interazione Persona-Macchina;Corso di Laurea Magistrale;OpenMove;Genova;Genova;Liguria;ITALIA
642;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;NewSmartCard;Rovereto;Trento;Trentino Alto Adige;ITALIA
643;ITALIA;Italiana;Dipartimento di Sociologia e Ricerca Sociale;Gestione delle organizzazioni e del territorio;Corso di Laurea Magistrale;OldSmartCard;Rovereto;Trento;Trentino Alto Adige;ITALIA
644;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;NewSmartCard;Trento;Trento;Trentino Alto Adige;ITALIA
645;ITALIA;Italiana;Dipartimento di Ingegneria Civile, Ambientale e Meccanica;Ingegneria per l'ambiente e il territorio;Corso di Laurea Magistrale;OpenMove;Baselga di Pine';Trento;Trentino Alto Adige;ITALIA
646;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Mediazione linguistica, turismo e culture;Corso di Laurea Magistrale;OldSmartCard;Cles;Trento;Trentino Alto Adige;ITALIA
647;ITALIA;Italiana;Dipartimento di Lettere e Filosofia;Studi storici e filologico-letterari;Corso di Laurea;NewSmartCard;Baselga di Pine';Trento;Trentino Alto Adige;ITALIA
648;PORTOGALLO;Comunitaria;Dipartimento di Lettere e Filosofia;Lingue moderne;Corso di Laurea;OpenMove;Trento;Trento;Trentino Alto Adige;ITALIA
